abbr,category,jobtitle
NH,Legal / Paralegal,Administrative Law Judges
NJ,Legal / Paralegal,Administrative Law Judges
NM,Legal / Paralegal,Administrative Law Judges
NY,Legal / Paralegal,Administrative Law Judges
NC,Legal / Paralegal,Administrative Law Judges
OH,Legal / Paralegal,Administrative Law Judges
OK,Legal / Paralegal,Administrative Law Judges
OR,Legal / Paralegal,Administrative Law Judges
PA,Legal / Paralegal,Administrative Law Judges
RI,Legal / Paralegal,Administrative Law Judges
SC,Legal / Paralegal,Administrative Law Judges
TN,Legal / Paralegal,Administrative Law Judges
TX,Legal / Paralegal,Administrative Law Judges
UT,Legal / Paralegal,Administrative Law Judges
VT,Legal / Paralegal,Administrative Law Judges
VA,Legal / Paralegal,Administrative Law Judges
WA,Legal / Paralegal,Administrative Law Judges
WV,Legal / Paralegal,Administrative Law Judges
WI,Legal / Paralegal,Administrative Law Judges
PR,Legal / Paralegal,Administrative Law Judges
AL,Upper Management / Consulting,Administrative Services Managers
AK,Upper Management / Consulting,Administrative Services Managers
AZ,Upper Management / Consulting,Administrative Services Managers
AR,Upper Management / Consulting,Administrative Services Managers
CA,Upper Management / Consulting,Administrative Services Managers
CO,Upper Management / Consulting,Administrative Services Managers
CT,Upper Management / Consulting,Administrative Services Managers
DE,Upper Management / Consulting,Administrative Services Managers
DC,Upper Management / Consulting,Administrative Services Managers
FL,Upper Management / Consulting,Administrative Services Managers
GA,Upper Management / Consulting,Administrative Services Managers
HI,Upper Management / Consulting,Administrative Services Managers
ID,Upper Management / Consulting,Administrative Services Managers
IL,Upper Management / Consulting,Administrative Services Managers
IN,Upper Management / Consulting,Administrative Services Managers
IA,Upper Management / Consulting,Administrative Services Managers
KS,Upper Management / Consulting,Administrative Services Managers
KY,Upper Management / Consulting,Administrative Services Managers
LA,Upper Management / Consulting,Administrative Services Managers
ME,Upper Management / Consulting,Administrative Services Managers
MD,Upper Management / Consulting,Administrative Services Managers
MA,Upper Management / Consulting,Administrative Services Managers
MI,Upper Management / Consulting,Administrative Services Managers
MN,Upper Management / Consulting,Administrative Services Managers
MS,Upper Management / Consulting,Administrative Services Managers
MO,Upper Management / Consulting,Administrative Services Managers
MT,Upper Management / Consulting,Administrative Services Managers
NE,Upper Management / Consulting,Administrative Services Managers
NV,Upper Management / Consulting,Administrative Services Managers
NH,Upper Management / Consulting,Administrative Services Managers
NJ,Upper Management / Consulting,Administrative Services Managers
NM,Upper Management / Consulting,Administrative Services Managers
NY,Upper Management / Consulting,Administrative Services Managers
NC,Upper Management / Consulting,Administrative Services Managers
ND,Upper Management / Consulting,Administrative Services Managers
OH,Upper Management / Consulting,Administrative Services Managers
OK,Upper Management / Consulting,Administrative Services Managers
OR,Upper Management / Consulting,Administrative Services Managers
PA,Upper Management / Consulting,Administrative Services Managers
RI,Upper Management / Consulting,Administrative Services Managers
SC,Upper Management / Consulting,Administrative Services Managers
SD,Upper Management / Consulting,Administrative Services Managers
TN,Upper Management / Consulting,Administrative Services Managers
TX,Upper Management / Consulting,Administrative Services Managers
UT,Upper Management / Consulting,Administrative Services Managers
VT,Upper Management / Consulting,Administrative Services Managers
VA,Upper Management / Consulting,Administrative Services Managers
WA,Upper Management / Consulting,Administrative Services Managers
WV,Upper Management / Consulting,Administrative Services Managers
WI,Upper Management / Consulting,Administrative Services Managers
WY,Upper Management / Consulting,Administrative Services Managers
GU,Upper Management / Consulting,Administrative Services Managers
PR,Upper Management / Consulting,Administrative Services Managers
VI,Upper Management / Consulting,Administrative Services Managers
AL,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
AK,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
AZ,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
AR,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
CA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
CO,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
CT,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
DE,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
DC,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
FL,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
GA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
HI,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
ID,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
IL,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
IN,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
IA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
KS,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
KY,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
LA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
ME,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MD,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MI,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MN,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MS,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MO,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
MT,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NE,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NV,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NH,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NJ,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NM,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NY,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
NC,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
ND,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
OH,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
OK,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
OR,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
PA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
RI,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
SC,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
SD,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
TN,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
TX,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
UT,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
VT,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
VA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
WA,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
WV,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
WI,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
WY,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
PR,Education / Training,Adult Basic and Secondary Education and Literacy Teachers and Instructors
AL,Marketing / Advertising,Advertising and Promotions Managers
AK,Marketing / Advertising,Advertising and Promotions Managers
AZ,Marketing / Advertising,Advertising and Promotions Managers
AR,Marketing / Advertising,Advertising and Promotions Managers
CA,Marketing / Advertising,Advertising and Promotions Managers
CO,Marketing / Advertising,Advertising and Promotions Managers
CT,Marketing / Advertising,Advertising and Promotions Managers
DE,Marketing / Advertising,Advertising and Promotions Managers
DC,Marketing / Advertising,Advertising and Promotions Managers
FL,Marketing / Advertising,Advertising and Promotions Managers
GA,Marketing / Advertising,Advertising and Promotions Managers
HI,Marketing / Advertising,Advertising and Promotions Managers
ID,Marketing / Advertising,Advertising and Promotions Managers
IL,Marketing / Advertising,Advertising and Promotions Managers
IN,Marketing / Advertising,Advertising and Promotions Managers
IA,Marketing / Advertising,Advertising and Promotions Managers
KS,Marketing / Advertising,Advertising and Promotions Managers
KY,Marketing / Advertising,Advertising and Promotions Managers
LA,Marketing / Advertising,Advertising and Promotions Managers
ME,Marketing / Advertising,Advertising and Promotions Managers
MD,Marketing / Advertising,Advertising and Promotions Managers
MA,Marketing / Advertising,Advertising and Promotions Managers
MI,Marketing / Advertising,Advertising and Promotions Managers
MN,Marketing / Advertising,Advertising and Promotions Managers
MS,Marketing / Advertising,Advertising and Promotions Managers
MO,Marketing / Advertising,Advertising and Promotions Managers
MT,Marketing / Advertising,Advertising and Promotions Managers
NE,Marketing / Advertising,Advertising and Promotions Managers
NV,Marketing / Advertising,Advertising and Promotions Managers
NH,Marketing / Advertising,Advertising and Promotions Managers
NJ,Marketing / Advertising,Advertising and Promotions Managers
NM,Marketing / Advertising,Advertising and Promotions Managers
NY,Marketing / Advertising,Advertising and Promotions Managers
NC,Marketing / Advertising,Advertising and Promotions Managers
ND,Marketing / Advertising,Advertising and Promotions Managers
OH,Marketing / Advertising,Advertising and Promotions Managers
OK,Marketing / Advertising,Advertising and Promotions Managers
OR,Marketing / Advertising,Advertising and Promotions Managers
PA,Marketing / Advertising,Advertising and Promotions Managers
RI,Marketing / Advertising,Advertising and Promotions Managers
SC,Marketing / Advertising,Advertising and Promotions Managers
TN,Marketing / Advertising,Advertising and Promotions Managers
TX,Marketing / Advertising,Advertising and Promotions Managers
UT,Marketing / Advertising,Advertising and Promotions Managers
VT,Marketing / Advertising,Advertising and Promotions Managers
VA,Marketing / Advertising,Advertising and Promotions Managers
WA,Marketing / Advertising,Advertising and Promotions Managers
WV,Marketing / Advertising,Advertising and Promotions Managers
WI,Marketing / Advertising,Advertising and Promotions Managers
GU,Marketing / Advertising,Advertising and Promotions Managers
PR,Marketing / Advertising,Advertising and Promotions Managers
AL,Marketing / Advertising,Advertising Sales Agents
AK,Marketing / Advertising,Advertising Sales Agents
AZ,Marketing / Advertising,Advertising Sales Agents
AR,Marketing / Advertising,Advertising Sales Agents
CA,Marketing / Advertising,Advertising Sales Agents
CO,Marketing / Advertising,Advertising Sales Agents
CT,Marketing / Advertising,Advertising Sales Agents
DE,Marketing / Advertising,Advertising Sales Agents
DC,Marketing / Advertising,Advertising Sales Agents
FL,Marketing / Advertising,Advertising Sales Agents
GA,Marketing / Advertising,Advertising Sales Agents
HI,Marketing / Advertising,Advertising Sales Agents
ID,Marketing / Advertising,Advertising Sales Agents
IL,Marketing / Advertising,Advertising Sales Agents
IN,Marketing / Advertising,Advertising Sales Agents
IA,Marketing / Advertising,Advertising Sales Agents
KS,Marketing / Advertising,Advertising Sales Agents
KY,Marketing / Advertising,Advertising Sales Agents
LA,Marketing / Advertising,Advertising Sales Agents
ME,Marketing / Advertising,Advertising Sales Agents
MD,Marketing / Advertising,Advertising Sales Agents
MA,Marketing / Advertising,Advertising Sales Agents
MI,Marketing / Advertising,Advertising Sales Agents
MN,Marketing / Advertising,Advertising Sales Agents
MS,Marketing / Advertising,Advertising Sales Agents
MO,Marketing / Advertising,Advertising Sales Agents
MT,Marketing / Advertising,Advertising Sales Agents
NE,Marketing / Advertising,Advertising Sales Agents
NV,Marketing / Advertising,Advertising Sales Agents
NH,Marketing / Advertising,Advertising Sales Agents
NJ,Marketing / Advertising,Advertising Sales Agents
NM,Marketing / Advertising,Advertising Sales Agents
NY,Marketing / Advertising,Advertising Sales Agents
NC,Marketing / Advertising,Advertising Sales Agents
ND,Marketing / Advertising,Advertising Sales Agents
OH,Marketing / Advertising,Advertising Sales Agents
OK,Marketing / Advertising,Advertising Sales Agents
OR,Marketing / Advertising,Advertising Sales Agents
PA,Marketing / Advertising,Advertising Sales Agents
RI,Marketing / Advertising,Advertising Sales Agents
SC,Marketing / Advertising,Advertising Sales Agents
SD,Marketing / Advertising,Advertising Sales Agents
TN,Marketing / Advertising,Advertising Sales Agents
TX,Marketing / Advertising,Advertising Sales Agents
UT,Marketing / Advertising,Advertising Sales Agents
VT,Marketing / Advertising,Advertising Sales Agents
VA,Marketing / Advertising,Advertising Sales Agents
WA,Marketing / Advertising,Advertising Sales Agents
WV,Marketing / Advertising,Advertising Sales Agents
WI,Marketing / Advertising,Advertising Sales Agents
WY,Marketing / Advertising,Advertising Sales Agents
GU,Marketing / Advertising,Advertising Sales Agents
PR,Marketing / Advertising,Advertising Sales Agents
AL,Engineering / Architecture,Aerospace Engineering and Operations Technicians
AZ,Engineering / Architecture,Aerospace Engineering and Operations Technicians
CA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
CO,Engineering / Architecture,Aerospace Engineering and Operations Technicians
CT,Engineering / Architecture,Aerospace Engineering and Operations Technicians
DC,Engineering / Architecture,Aerospace Engineering and Operations Technicians
FL,Engineering / Architecture,Aerospace Engineering and Operations Technicians
GA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
IL,Engineering / Architecture,Aerospace Engineering and Operations Technicians
IA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
KS,Engineering / Architecture,Aerospace Engineering and Operations Technicians
KY,Engineering / Architecture,Aerospace Engineering and Operations Technicians
LA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
MD,Engineering / Architecture,Aerospace Engineering and Operations Technicians
MI,Engineering / Architecture,Aerospace Engineering and Operations Technicians
MN,Engineering / Architecture,Aerospace Engineering and Operations Technicians
NJ,Engineering / Architecture,Aerospace Engineering and Operations Technicians
NM,Engineering / Architecture,Aerospace Engineering and Operations Technicians
NC,Engineering / Architecture,Aerospace Engineering and Operations Technicians
ND,Engineering / Architecture,Aerospace Engineering and Operations Technicians
OH,Engineering / Architecture,Aerospace Engineering and Operations Technicians
OR,Engineering / Architecture,Aerospace Engineering and Operations Technicians
PA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
TN,Engineering / Architecture,Aerospace Engineering and Operations Technicians
TX,Engineering / Architecture,Aerospace Engineering and Operations Technicians
UT,Engineering / Architecture,Aerospace Engineering and Operations Technicians
VA,Engineering / Architecture,Aerospace Engineering and Operations Technicians
AL,Engineering / Architecture,Aerospace Engineers
AK,Engineering / Architecture,Aerospace Engineers
AZ,Engineering / Architecture,Aerospace Engineers
CA,Engineering / Architecture,Aerospace Engineers
CO,Engineering / Architecture,Aerospace Engineers
CT,Engineering / Architecture,Aerospace Engineers
DE,Engineering / Architecture,Aerospace Engineers
DC,Engineering / Architecture,Aerospace Engineers
FL,Engineering / Architecture,Aerospace Engineers
GA,Engineering / Architecture,Aerospace Engineers
IL,Engineering / Architecture,Aerospace Engineers
IN,Engineering / Architecture,Aerospace Engineers
IA,Engineering / Architecture,Aerospace Engineers
KS,Engineering / Architecture,Aerospace Engineers
KY,Engineering / Architecture,Aerospace Engineers
LA,Engineering / Architecture,Aerospace Engineers
MD,Engineering / Architecture,Aerospace Engineers
MA,Engineering / Architecture,Aerospace Engineers
MI,Engineering / Architecture,Aerospace Engineers
MN,Engineering / Architecture,Aerospace Engineers
MS,Engineering / Architecture,Aerospace Engineers
NE,Engineering / Architecture,Aerospace Engineers
NV,Engineering / Architecture,Aerospace Engineers
NH,Engineering / Architecture,Aerospace Engineers
NJ,Engineering / Architecture,Aerospace Engineers
NM,Engineering / Architecture,Aerospace Engineers
NY,Engineering / Architecture,Aerospace Engineers
NC,Engineering / Architecture,Aerospace Engineers
OH,Engineering / Architecture,Aerospace Engineers
OK,Engineering / Architecture,Aerospace Engineers
OR,Engineering / Architecture,Aerospace Engineers
PA,Engineering / Architecture,Aerospace Engineers
SC,Engineering / Architecture,Aerospace Engineers
TN,Engineering / Architecture,Aerospace Engineers
TX,Engineering / Architecture,Aerospace Engineers
UT,Engineering / Architecture,Aerospace Engineers
VA,Engineering / Architecture,Aerospace Engineers
WA,Engineering / Architecture,Aerospace Engineers
WI,Engineering / Architecture,Aerospace Engineers
AL,Upper Management / Consulting,Agents and Business Managers of Artists
AZ,Upper Management / Consulting,Agents and Business Managers of Artists
CA,Upper Management / Consulting,Agents and Business Managers of Artists
CO,Upper Management / Consulting,Agents and Business Managers of Artists
CT,Upper Management / Consulting,Agents and Business Managers of Artists
FL,Upper Management / Consulting,Agents and Business Managers of Artists
GA,Upper Management / Consulting,Agents and Business Managers of Artists
IL,Upper Management / Consulting,Agents and Business Managers of Artists
IN,Upper Management / Consulting,Agents and Business Managers of Artists
KS,Upper Management / Consulting,Agents and Business Managers of Artists
LA,Upper Management / Consulting,Agents and Business Managers of Artists
MD,Upper Management / Consulting,Agents and Business Managers of Artists
MA,Upper Management / Consulting,Agents and Business Managers of Artists
MI,Upper Management / Consulting,Agents and Business Managers of Artists
MN,Upper Management / Consulting,Agents and Business Managers of Artists
MO,Upper Management / Consulting,Agents and Business Managers of Artists
MT,Upper Management / Consulting,Agents and Business Managers of Artists
NV,Upper Management / Consulting,Agents and Business Managers of Artists
NJ,Upper Management / Consulting,Agents and Business Managers of Artists
NM,Upper Management / Consulting,Agents and Business Managers of Artists
NY,Upper Management / Consulting,Agents and Business Managers of Artists
NC,Upper Management / Consulting,Agents and Business Managers of Artists
OH,Upper Management / Consulting,Agents and Business Managers of Artists
OK,Upper Management / Consulting,Agents and Business Managers of Artists
OR,Upper Management / Consulting,Agents and Business Managers of Artists
PA,Upper Management / Consulting,Agents and Business Managers of Artists
SC,Upper Management / Consulting,Agents and Business Managers of Artists
TN,Upper Management / Consulting,Agents and Business Managers of Artists
TX,Upper Management / Consulting,Agents and Business Managers of Artists
UT,Upper Management / Consulting,Agents and Business Managers of Artists
VT,Upper Management / Consulting,Agents and Business Managers of Artists
VA,Upper Management / Consulting,Agents and Business Managers of Artists
WA,Upper Management / Consulting,Agents and Business Managers of Artists
WI,Upper Management / Consulting,Agents and Business Managers of Artists
AL,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
AZ,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
AR,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
CA,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
CO,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
DE,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
FL,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
GA,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
ID,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
IL,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
IN,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
IA,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
KS,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
KY,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
LA,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
ME,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MD,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MA,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MI,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MN,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MS,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MO,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
MT,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
NE,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
NH,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
NJ,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
NM,Pharmaceutical / Bio-tech,Agricultural and Food Science Technicians
